season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,21,TSG Hoffenheim ,VfB Stuttgart ,4,1,1,0,14,13,"115,36 km","110,07 km",393,392,268,261,125,131,68%,67%,50%,50%,52%,48%,23,19,19,21,6,3,5,4
13-14,21,Eintracht Braunschweig ,Hamburger SV ,4,2,0,1,13,18,"116,9 km","110,29 km",291,285,185,169,106,116,64%,59%,50%,50%,51%,49%,14,24,24,14,7,0,7,8
13-14,21,Bayer 04 Leverkusen ,FC Schalke 04 ,1,2,0,1,13,11,"114,93 km","116,23 km",528,387,435,305,93,82,82%,79%,58%,42%,49%,51%,12,16,14,12,3,1,11,2
13-14,21,FC Augsburg ,1. FC Nürnberg ,0,1,0,0,18,11,"119,24 km","121,26 km",377,491,290,397,87,94,77%,81%,44%,56%,49%,51%,17,19,17,16,4,1,6,2
13-14,21,Hertha BSC ,VfL Wolfsburg ,1,2,1,0,13,7,"117,47 km","118,25 km",336,500,239,411,97,89,71%,82%,40%,60%,45%,55%,12,15,15,11,3,1,4,6
13-14,22,FC Schalke 04 ,1. FSV Mainz 05 ,0,0,0,0,16,15,"115,04 km","118,74 km",448,454,344,355,104,99,77%,78%,50%,50%,46%,54%,19,8,7,19,1,0,3,9
13-14,22,Bor. Mönchengladbach ,TSG Hoffenheim ,2,2,2,0,13,19,"120,95 km","124,74 km",468,541,347,467,121,74,74%,86%,47%,53%,49%,51%,15,17,15,15,2,0,6,5
13-14,22,VfB Stuttgart ,Hertha BSC ,1,2,1,1,15,10,"112,66 km","111,99 km",358,350,241,246,117,104,67%,70%,51%,49%,46%,54%,22,19,19,20,1,1,5,8
13-14,22,1. FC Nürnberg ,Eintracht Braunschweig ,2,1,0,1,6,22,"110,39 km","116,2 km",373,330,287,263,86,67,77%,80%,53%,47%,54%,46%,19,21,20,18,1,3,3,10
13-14,22,SC Freiburg ,FC Augsburg ,2,4,1,1,14,18,"122,34 km","120,31 km",427,420,329,315,98,105,77%,75%,50%,50%,50%,50%,14,13,12,13,5,0,2,4
13-14,22,Hamburger SV ,Borussia Dortmund ,3,0,1,0,13,15,"114,55 km","116,22 km",320,607,207,475,113,132,65%,78%,35%,65%,49%,51%,17,19,18,17,2,5,3,6
13-14,22,VfL Wolfsburg ,Bayer 04 Leverkusen ,3,1,1,1,9,17,"120,72 km","116,59 km",387,509,294,395,93,114,76%,78%,43%,57%,51%,49%,15,19,19,15,4,3,0,4
13-14,22,Eintracht Frankfurt ,Werder Bremen ,0,0,0,0,21,3,"111,82 km","111,23 km",647,208,540,118,107,90,83%,57%,75%,25%,53%,47%,16,18,17,16,1,0,14,2
13-14,22,Hannover 96 ,Bayern München ,0,4,0,2,8,14,"114,5 km","111,86 km",288,739,186,653,102,86,65%,88%,29%,71%,47%,53%,10,11,11,10,4,2,6,4
13-14,23,Hertha BSC ,SC Freiburg ,0,0,0,0,9,7,"117,34 km","118,34 km",369,515,269,377,100,138,73%,73%,42%,58%,49%,51%,11,14,14,11,1,1,4,4
13-14,23,Borussia Dortmund ,1. FC Nürnberg ,3,0,0,0,28,4,"118,2 km","121,23 km",453,517,351,420,102,97,77%,81%,47%,53%,52%,48%,9,13,12,9,6,1,8,1
13-14,23,Bayer 04 Leverkusen ,1. FSV Mainz 05 ,0,1,0,1,19,10,"114,95 km","119,05 km",458,313,370,218,88,95,81%,70%,61%,39%,51%,49%,19,13,12,19,1,0,7,0
13-14,23,Werder Bremen ,Hamburger SV ,1,0,1,0,16,11,"116,63 km","116,18 km",284,412,165,310,119,102,58%,75%,40%,60%,49%,51%,25,17,16,25,2,2,4,5
13-14,23,FC Augsburg ,Hannover 96 ,1,1,0,1,16,10,"115,18 km","119,96 km",482,399,397,310,85,89,82%,78%,55%,45%,52%,48%,14,17,17,14,5,0,7,2
13-14,23,Eintracht Braunschweig ,Bor. Mönchengladbach ,1,1,0,1,20,12,"121,26 km","118,59 km",359,505,273,412,86,93,76%,82%,42%,58%,52%,48%,12,14,14,12,0,2,10,4
13-14,23,Bayern München ,FC Schalke 04 ,5,1,4,0,22,10,"107,18 km","105,41 km",855,267,792,204,63,63,93%,76%,76%,24%,52%,48%,8,12,11,8,1,0,14,4
