index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
61,13-14,7,Werder Bremen,1. FC Nürnberg,3,3,2,1,15,17,118.17,119.25,418,390,307,286,111,104,0.73,0.73,0.51,0.49,0.47,0.53,16,9,8,16,2,2,4,4
62,13-14,7,Eintracht Braunschweig,VfB Stuttgart,0,4,0,1,10,14,115.2,117.96,439,476,325,372,114,104,0.74,0.78,0.48,0.52,0.51,0.49,11,19,19,10,5,1,8,3
63,13-14,8,Hannover 96,Hertha BSC,1,1,1,0,14,10,113.86,116.4,374,347,287,268,87,79,0.77,0.77,0.51,0.49,0.52,0.48,18,21,20,17,0,2,7,9
64,13-14,8,FC Schalke 04,FC Augsburg,4,1,2,1,12,10,112.97,106.66,717,295,648,220,69,75,0.9,0.75,0.7,0.3,0.52,0.48,9,10,10,9,2,3,2,3
65,13-14,8,Bor. Mönchengladbach,Borussia Dortmund,2,0,0,0,6,27,117.03,118.05,429,586,338,502,91,84,0.79,0.86,0.43,0.57,0.57,0.43,8,9,8,8,0,1,1,9
66,13-14,8,VfB Stuttgart,Werder Bremen,1,1,1,1,20,6,117.55181818181818,116.43848484848485,580,257,497,164,83,93,0.86,0.64,0.69,0.31,0.58,0.42,11,11,10,9,3,0,13,1
67,13-14,8,VfL Wolfsburg,Eintracht Braunschweig,0,2,0,1,17,7,117.28,122.7,495,243,414,159,81,84,0.84,0.65,0.67,0.33,0.57,0.43,18,26,24,17,5,2,7,2
68,13-14,8,1. FSV Mainz 05,TSG Hoffenheim,2,2,0,2,18,14,122.99,120.67,441,374,325,258,116,116,0.74,0.69,0.54,0.46,0.5,0.5,23,16,16,22,9,4,7,1
69,13-14,8,Bayer 04 Leverkusen,Bayern München,1,1,1,1,5,27,114.89,111.38,191,709,122,641,69,68,0.64,0.9,0.22,0.78,0.46,0.54,15,8,7,15,2,1,2,14
70,13-14,8,1. FC Nürnberg,Hamburger SV,0,5,0,1,7,16,115.34,117.29,486,472,412,403,74,69,0.85,0.85,0.51,0.49,0.55,0.45,16,15,14,15,1,1,5,4
71,13-14,8,SC Freiburg,Eintracht Frankfurt,1,1,0,0,13,11,121.38,112.24,440,396,366,305,74,91,0.83,0.77,0.53,0.47,0.56,0.44,12,20,20,11,1,3,7,10
72,13-14,9,TSG Hoffenheim,Bayer 04 Leverkusen,1,2,0,1,20,12,121.41,119.66,497,439,421,355,76,84,0.85,0.81,0.52,0.48,0.54,0.46,13,19,18,13,2,2,8,10
