,Date,Open,High,Low,Close,Adj Close,Volumn
667,2017-02-10,184.50,185.50,184.00,185.50,154.43,"34,747,000"
666,2017-02-13,186.50,188.00,186.50,187.50,156.09,"25,124,000"
665,2017-02-14,189.00,190.00,187.50,187.50,156.09,"45,696,000"
664,2017-02-15,187.00,189.50,186.50,189.00,157.34,"39,347,000"
663,2017-02-16,190.00,190.50,188.00,189.00,157.34,"27,018,000"
662,2017-02-17,190.00,190.50,189.00,189.50,157.76,"20,389,000"
661,2017-02-18,-,-,-,-,-,-
660,2017-02-20,190.00,190.50,189.50,190.00,158.18,"13,254,000"
659,2017-02-21,190.00,190.00,188.50,190.00,158.18,"31,159,000"
658,2017-02-22,190.50,191.00,188.50,188.50,156.93,"25,677,000"
657,2017-02-23,188.00,189.50,187.00,188.50,156.93,"35,725,000"
656,2017-02-24,187.50,190.50,187.50,189.00,157.34,"22,766,000"
655,2017-03-01,188.50,188.50,186.00,186.00,154.85,"46,186,000"
654,2017-03-02,188.00,188.50,185.00,186.00,154.85,"39,980,000"
653,2017-03-03,184.50,185.00,184.00,184.00,153.18,"28,197,000"
652,2017-03-06,184.00,184.50,183.50,183.50,152.76,"12,531,000"
651,2017-03-07,184.00,185.50,184.00,185.50,154.43,"18,812,000"
650,2017-03-08,186.00,188.00,185.50,187.00,155.68,"31,791,000"
649,2017-03-09,185.50,186.00,184.00,184.50,153.60,"28,489,000"
648,2017-03-10,184.00,184.50,183.00,183.50,152.76,"20,053,000"
647,2017-03-13,185.00,186.50,185.00,186.50,155.26,"10,487,000"
646,2017-03-14,188.00,188.00,186.00,186.00,154.85,"22,245,000"
645,2017-03-15,185.50,187.00,185.50,186.50,155.26,"14,131,000"
644,2017-03-16,188.00,190.00,188.00,190.00,158.18,"31,507,000"
643,2017-03-17,189.50,191.50,189.00,191.50,159.42,"33,764,000"
642,2017-03-20,191.50,191.50,189.50,191.50,159.42,"16,215,000"
641,2017-03-21,192.00,195.00,191.50,195.00,162.34,"32,246,000"
640,2017-03-22,192.50,193.50,191.50,193.50,161.09,"27,396,000"
639,2017-03-23,192.00,193.50,192.00,193.50,161.09,"18,472,000"
638,2017-03-24,192.00,193.00,192.00,192.50,160.26,"17,541,000"
637,2017-03-27,194.50,194.50,192.00,193.00,160.67,"29,251,000"
636,2017-03-28,195.00,195.00,192.50,194.50,161.92,"38,259,000"
635,2017-03-29,194.50,194.50,191.00,191.50,159.42,"33,374,000"
634,2017-03-30,192.50,193.00,190.50,191.50,159.42,"28,302,000"
633,2017-03-31,191.00,192.00,189.00,189.00,157.34,"33,635,000"
751,2017-03-31,191.00,192.00,189.00,189.00,157.34,"33,635,000"
750,2017-04-05,189.50,193.00,189.50,193.00,160.67,"43,748,000"
749,2017-04-06,193.00,193.00,191.00,191.50,159.42,"16,173,000"
748,2017-04-07,192.00,192.00,188.50,191.00,159.01,"18,911,000"
747,2017-04-10,191.00,191.50,189.50,190.00,158.18,"17,024,000"
746,2017-04-11,190.00,191.00,189.00,191.00,159.01,"8,441,000"
745,2017-04-12,190.50,191.50,190.00,191.00,159.01,"17,283,000"
744,2017-04-13,189.50,192.00,189.50,191.50,159.42,"14,771,000"
743,2017-04-14,189.50,189.50,188.00,189.00,157.34,"30,701,000"
742,2017-04-17,189.00,189.00,187.50,187.50,156.09,"17,096,000"
741,2017-04-18,188.00,189.50,187.50,188.00,156.51,"25,063,000"
740,2017-04-19,187.50,187.50,186.50,186.50,155.26,"30,477,000"
739,2017-04-20,186.50,188.00,186.50,187.00,155.68,"21,488,000"
738,2017-04-21,187.50,190.00,187.50,190.00,158.18,"17,373,000"
737,2017-04-24,191.00,191.50,188.50,190.00,158.18,"19,317,000"
736,2017-04-25,190.50,192.00,189.50,192.00,159.84,"31,932,000"
735,2017-04-26,192.00,192.00,190.50,191.00,159.01,"29,909,000"
734,2017-04-27,192.00,193.00,190.50,193.00,160.67,"27,940,000"
733,2017-04-28,193.50,194.50,193.00,194.50,161.92,"34,852,000"
732,2017-05-02,198.50,199.00,195.50,196.50,163.59,"44,119,000"
731,2017-05-03,198.00,198.50,197.00,198.00,164.84,"25,723,000"
730,2017-05-04,198.50,199.00,197.00,198.00,164.84,"22,088,000"
729,2017-05-05,197.00,198.50,197.00,197.50,164.42,"17,036,000"
728,2017-05-08,199.00,202.50,199.00,202.50,168.58,"36,538,000"
727,2017-05-09,205.50,207.00,203.50,203.50,169.41,"48,077,000"
726,2017-05-10,204.00,206.00,204.00,205.50,171.08,"28,312,000"
725,2017-05-11,204.50,208.50,204.00,207.50,172.74,"43,718,000"
724,2017-05-12,205.00,207.00,205.00,206.00,171.50,"25,009,000"
723,2017-05-15,204.00,206.00,204.00,206.00,171.50,"25,666,000"
722,2017-05-16,205.00,205.00,203.50,204.50,170.25,"33,224,000"
721,2017-05-17,203.00,204.00,203.00,204.00,169.83,"21,567,000"
720,2017-05-18,202.50,204.00,201.50,203.50,169.41,"22,461,000"
719,2017-05-19,203.50,204.50,202.50,203.00,169.00,"16,492,000"
718,2017-05-22,203.50,205.00,203.00,205.00,170.66,"13,726,000"
717,2017-05-23,205.00,207.00,204.50,205.00,170.66,"19,991,000"
716,2017-05-24,205.00,206.00,205.00,205.50,171.08,"13,380,000"
715,2017-05-25,206.00,207.00,205.50,207.00,172.33,"22,328,000"
714,2017-05-26,205.00,207.00,205.00,207.00,172.33,"32,514,000"
713,2017-05-31,206.50,207.00,203.00,203.00,169.00,"67,475,000"
712,2017-06-01,205.00,207.00,204.50,207.00,172.33,"27,589,000"
711,2017-06-02,208.50,209.00,207.50,209.00,173.99,"22,573,000"
710,2017-06-03,-,-,-,-,-,-
